taker_pos,taker_name,taker_result,taker_href,taker_outcome,taker_team,game_id
1,Celso Borges,First penalty,https://en.wikipedia.org/wiki/Celso_Borges,scored,winner,24
1,Kostas Mitroglou,,https://en.wikipedia.org/wiki/Kostas_Mitroglou,scored,loser,24
2,Bryan Ruiz,,https://en.wikipedia.org/wiki/Bryan_Ruiz,scored,winner,24
2,Lazaros Christodoulopoulos,,https://en.wikipedia.org/wiki/Lazaros_Christodoulopoulos,scored,loser,24
3,Giancarlo González,,https://en.wikipedia.org/wiki/Giancarlo_Gonz%C3%A1lez,scored,winner,24
3,José Holebas,,https://en.wikipedia.org/wiki/Jos%C3%A9_Holebas,scored,loser,24
4,Joel Campbell,,https://en.wikipedia.org/wiki/Joel_Campbell,scored,winner,24
4,Theofanis Gekas,,https://en.wikipedia.org/wiki/Theofanis_Gekas,missed,loser,24
5,Michael Umaña,Ending goal,https://en.wikipedia.org/wiki/Michael_Uma%C3%B1a,scored,winner,24
1,Celso Borges,First penalty,https://en.wikipedia.org/wiki/Celso_Borges,scored,loser,25
1,Robin van Persie,,https://en.wikipedia.org/wiki/Robin_van_Persie,scored,winner,25
2,Bryan Ruiz,,https://en.wikipedia.org/wiki/Bryan_Ruiz,missed,loser,25
2,Arjen Robben,,https://en.wikipedia.org/wiki/Arjen_Robben,scored,winner,25
3,Giancarlo González,,https://en.wikipedia.org/wiki/Giancarlo_Gonz%C3%A1lez,scored,loser,25
3,Wesley Sneijder,,https://en.wikipedia.org/wiki/Wesley_Sneijder,scored,winner,25
4,Christian Bolaños,,https://en.wikipedia.org/wiki/Christian_Bola%C3%B1os,scored,loser,25
4,Dirk Kuyt,,https://en.wikipedia.org/wiki/Dirk_Kuyt,scored,winner,25
5,Michael Umaña,Ending miss,https://en.wikipedia.org/wiki/Michael_Uma%C3%B1a,missed,loser,25
1,Ron Vlaar,First penalty,https://en.wikipedia.org/wiki/Ron_Vlaar,missed,loser,26
1,Lionel Messi,,https://en.wikipedia.org/wiki/Lionel_Messi,scored,winner,26
2,Arjen Robben,,https://en.wikipedia.org/wiki/Arjen_Robben,scored,loser,26
2,Ezequiel Garay,,https://en.wikipedia.org/wiki/Ezequiel_Garay,scored,winner,26
3,Wesley Sneijder,,https://en.wikipedia.org/wiki/Wesley_Sneijder,missed,loser,26
3,Sergio Agüero,,https://en.wikipedia.org/wiki/Sergio_Ag%C3%BCero,scored,winner,26
4,Dirk Kuyt,,https://en.wikipedia.org/wiki/Dirk_Kuyt,scored,loser,26
4,Maxi Rodríguez,Ending goal,https://en.wikipedia.org/wiki/Maxi_Rodr%C3%ADguez,scored,winner,26
1,Andrés Iniesta,First penalty,https://en.wikipedia.org/wiki/Andr%C3%A9s_Iniesta,scored,loser,27
1,Fyodor Smolov,,https://en.wikipedia.org/wiki/Fyodor_Smolov,scored,winner,27
2,Gerard Piqué,,https://en.wikipedia.org/wiki/Gerard_Piqu%C3%A9,scored,loser,27
2,Sergei Ignashevich,,https://en.wikipedia.org/wiki/Sergei_Ignashevich,scored,winner,27
3,"Koke (footballer, born 1992)",,"https://en.wikipedia.org/wiki/Koke_(footballer,_born_1992)",missed,loser,27
3,Aleksandr Golovin (footballer),,https://en.wikipedia.org/wiki/Aleksandr_Golovin_(footballer),scored,winner,27
4,Sergio Ramos,,https://en.wikipedia.org/wiki/Sergio_Ramos,scored,loser,27
4,Denis Cheryshev,,https://en.wikipedia.org/wiki/Denis_Cheryshev,scored,winner,27
5,Iago Aspas,Ending miss,https://en.wikipedia.org/wiki/Iago_Aspas,missed,loser,27
1,Christian Eriksen,First penalty,https://en.wikipedia.org/wiki/Christian_Eriksen,missed,loser,28
1,Milan Badelj,,https://en.wikipedia.org/wiki/Milan_Badelj,missed,winner,28
2,Simon Kjær,,https://en.wikipedia.org/wiki/Simon_Kj%C3%A6r,scored,loser,28
2,Andrej Kramarić,,https://en.wikipedia.org/wiki/Andrej_Kramari%C4%87,scored,winner,28
3,Michael Krohn-Dehli,,https://en.wikipedia.org/wiki/Michael_Krohn-Dehli,scored,loser,28
3,Luka Modrić,,https://en.wikipedia.org/wiki/Luka_Modri%C4%87,scored,winner,28
4,Lasse Schöne,,https://en.wikipedia.org/wiki/Lasse_Sch%C3%B6ne,missed,loser,28
4,Josip Pivarić,,https://en.wikipedia.org/wiki/Josip_Pivari%C4%87,missed,winner,28
5,Nicolai Jørgensen,,https://en.wikipedia.org/wiki/Nicolai_J%C3%B8rgensen,missed,loser,28
5,Ivan Rakitić,Ending goal,https://en.wikipedia.org/wiki/Ivan_Rakiti%C4%87,scored,winner,28
1,Radamel Falcao,First penalty,https://en.wikipedia.org/wiki/Radamel_Falcao,scored,loser,29
1,Harry Kane,,https://en.wikipedia.org/wiki/Harry_Kane,scored,winner,29
2,Juan Cuadrado,,https://en.wikipedia.org/wiki/Juan_Cuadrado,scored,loser,29
2,Marcus Rashford,,https://en.wikipedia.org/wiki/Marcus_Rashford,scored,winner,29
3,Luis Muriel,,https://en.wikipedia.org/wiki/Luis_Muriel,scored,loser,29
3,Jordan Henderson,,https://en.wikipedia.org/wiki/Jordan_Henderson,missed,winner,29
4,Mateus Uribe,,https://en.wikipedia.org/wiki/Mateus_Uribe,missed,loser,29
4,Kieran Trippier,,https://en.wikipedia.org/wiki/Kieran_Trippier,scored,winner,29
5,Carlos Bacca,,https://en.wikipedia.org/wiki/Carlos_Bacca,missed,loser,29
5,Eric Dier,Ending goal,https://en.wikipedia.org/wiki/Eric_Dier,scored,winner,29
1,Fyodor Smolov,First penalty,https://en.wikipedia.org/wiki/Fyodor_Smolov,missed,loser,30
1,Marcelo Brozović,,https://en.wikipedia.org/wiki/Marcelo_Brozovi%C4%87,scored,winner,30
2,Alan Dzagoev,,https://en.wikipedia.org/wiki/Alan_Dzagoev,scored,loser,30
2,Mateo Kovačić,,https://en.wikipedia.org/wiki/Mateo_Kova%C4%8Di%C4%87,missed,winner,30
3,Mário Fernandes (footballer),,https://en.wikipedia.org/wiki/M%C3%A1rio_Fernandes_(footballer),missed,loser,30
3,Luka Modrić,,https://en.wikipedia.org/wiki/Luka_Modri%C4%87,scored,winner,30
4,Sergei Ignashevich,,https://en.wikipedia.org/wiki/Sergei_Ignashevich,scored,loser,30
4,Domagoj Vida,,https://en.wikipedia.org/wiki/Domagoj_Vida,scored,winner,30
5,Daler Kuzyayev,,https://en.wikipedia.org/wiki/Daler_Kuzyayev,scored,loser,30
